Stock,EventD,OptionEX,C/P,Strike,Avg_Price,Volume,OIa,OI_Change,MillionD,Buy_%,Sell_%,ER_Date,ER_A/B,Div_Date,StockV,Rank,MaxD,Huge,OView
MSFT,180719,180727,C,105.0,2.049,9383,3844,5055,1.036,41.70,48.10,20180719,amc,20180815.0,104.4,99.0,1.036,2---2,Down
MSG,180719,180720,C,320.0,4.35,1250,1309,-1160,-0.505,0.00,100.00,20180815,bmo,,322.98,101.0,0.505,1---1,Down
MT,180719,180921,C,32.0,0.883,8374,10629,5280,0.466,81.71,18.06,,,,29.82,93.0,0.466,2---2,Up
MU,180719,180720,C,43.0,13.234,272,14084,-1270,-1.681,79.78,7.72,20180924,amc,,56.22,131.0,7.948,1---2,Up
MU,180719,180720,C,45.0,11.243,432,10440,-1125,-1.265,28.01,66.44,20180924,amc,,56.22,125.0,7.948,1---2,Down
MU,180719,180720,C,46.0,10.328,36,5727,-1182,-1.221,69.44,30.56,20180924,amc,,56.22,122.0,7.948,1---2,Up
MU,180719,180720,P,62.5,6.162,520,3817,-1618,-0.997,88.65,5.58,20180924,amc,,56.22,90.0,7.948,1---2,Down
MU,180719,180720,C,40.0,16.123,61,3209,-543,-0.875,36.07,60.66,20180924,amc,,56.22,141.0,7.948,1---2,Down
MU,180719,180720,C,42.0,14.049,137,4746,-543,-0.763,94.89,4.38,20180924,amc,,56.22,134.0,7.948,1---2,Up
MU,180719,181019,C,55.0,5.93,2088,22292,-1139,-0.675,85.34,10.44,20180924,amc,,56.22,102.0,7.948,1---2,Up
MU,180719,180720,C,50.0,6.175,1379,20880,-1005,-0.621,60.04,30.09,20180924,amc,,56.22,112.0,7.948,1---2,Up
MU,180719,190118,P,70.0,16.517,452,1845,-247,-0.408,96.68,3.10,20180924,amc,,56.22,80.0,7.948,1---2,Down
MU,180719,180720,P,60.0,3.829,242,63271,-860,-0.329,48.35,19.42,20180924,amc,,56.22,94.0,7.948,1---2,Down
MU,180719,181019,P,60.0,7.163,596,5555,-422,-0.302,86.41,8.89,20180924,amc,,56.22,94.0,7.948,1---2,Down
MU,180719,181019,C,60.0,3.756,1369,25658,827,0.311,50.11,37.03,20180924,amc,,56.22,94.0,7.948,1---2,Up
MU,180719,180921,P,60.0,5.988,733,1640,580,0.347,62.07,11.05,20180924,amc,,56.22,94.0,7.948,1---2,Down
MU,180719,180817,C,45.0,12.003,359,2336,291,0.349,45.40,49.30,20180924,amc,,56.22,125.0,7.948,1---2,Down
MU,180719,180921,C,60.0,2.62,3047,18084,1387,0.363,47.10,50.25,20180924,amc,,56.22,94.0,7.948,1---2,Down
MU,180719,180824,C,56.0,3.016,1306,413,1244,0.375,62.02,1.53,20180924,amc,,56.22,100.0,7.948,1---2,Up
MU,180719,190118,C,55.0,8.172,686,22926,463,0.378,26.68,72.30,20180924,amc,,56.22,102.0,7.948,1---2,Down
MU,180719,180817,C,60.0,1.279,7566,70737,3092,0.395,50.03,43.43,20180924,amc,,56.22,94.0,7.948,1---2,Up
MU,180719,180817,C,57.5,2.116,4709,36556,2041,0.432,22.87,29.69,20180924,amc,,56.22,98.0,7.948,1---2,Down
MU,180719,180921,C,45.0,12.108,426,1113,413,0.5,56.57,31.69,20180924,amc,,56.22,125.0,7.948,1---2,Up
MU,180719,190118,C,57.5,7.122,974,5574,863,0.615,6.06,74.33,20180924,amc,,56.22,98.0,7.948,1---2,Down
MU,180719,200117,P,42.0,4.154,2390,5020,2372,0.985,64.44,35.56,20180924,amc,,56.22,134.0,7.948,1---2,Down
MU,180719,180817,P,55.0,2.007,13455,23278,10486,2.104,86.58,5.28,20180924,amc,,56.22,102.0,7.948,1---2,Down
MU,180719,190118,C,60.0,5.983,4486,50104,4173,2.497,92.76,5.91,20180924,amc,,56.22,94.0,7.948,1---2,Up
MU,180719,180817,C,55.0,3.348,13716,21291,9776,3.273,88.91,10.08,20180924,amc,,56.22,102.0,7.948,1---2,Up
MU,180719,180921,P,55.0,3.154,21855,8501,20944,6.606,92.27,7.55,20180924,amc,,56.22,102.0,7.948,1---2,Down
MU,180719,180921,C,55.0,4.785,22671,10772,16611,7.948,5.90,92.96,20180924,amc,,56.22,102.0,7.948,1---2,Down
NFLX,180719,180720,P,400.0,31.516,878,6789,-2655,-8.368,56.72,33.71,20181015,amc,,364.23,91.0,8.368,2---2,Down
NFLX,180719,180720,P,405.0,37.949,574,1130,-375,-1.423,32.06,64.29,20181015,amc,,364.23,90.0,8.368,2---2,Up
NFLX,180719,180720,P,380.0,11.796,2754,5530,-1072,-1.264,52.69,44.92,20181015,amc,,364.23,96.0,8.368,2---2,Down
NFLX,180719,180720,P,395.0,26.588,779,1966,-468,-1.244,27.09,70.09,20181015,amc,,364.23,92.0,8.368,2---2,Up
NFLX,180719,180720,P,390.0,21.541,995,3877,-529,-1.14,50.35,44.42,20181015,amc,,364.23,93.0,8.368,2---2,Down
NFLX,180719,180720,P,425.0,50.873,8,356,-187,-0.951,25.00,75.00,20181015,amc,,364.23,86.0,8.368,2---2,Up
NFLX,180719,180720,P,370.0,4.073,16178,10389,-2201,-0.896,52.32,43.45,20181015,amc,,364.23,98.0,8.368,2---2,Down
NFLX,180719,180720,P,420.0,49.75,81,351,-180,-0.895,58.02,37.04,20181015,amc,,364.23,87.0,8.368,2---2,Down
NFLX,180719,180720,P,410.0,41.499,273,1158,-162,-0.672,55.68,31.87,20181015,amc,,364.23,89.0,8.368,2---2,Down
NFLX,180719,190118,C,330.0,64.223,125,2576,-103,-0.661,93.60,5.60,20181015,amc,,364.23,110.0,8.368,2---2,Up
NFLX,180719,180720,P,430.0,62.808,28,160,-93,-0.584,71.43,28.57,20181015,amc,,364.23,85.0,8.368,2---2,Down
NFLX,180719,180720,P,402.5,34.232,262,585,-166,-0.568,35.50,40.84,20181015,amc,,364.23,90.0,8.368,2---2,Up
NFLX,180719,190118,C,400.0,29.76,372,4655,-178,-0.53,40.86,56.99,20181015,amc,,364.23,91.0,8.368,2---2,Down
NFLX,180719,180720,P,427.5,53.35,5,129,-98,-0.523,100.00,0.00,20181015,amc,,364.23,85.0,8.368,2---2,Down
NFLX,180719,181221,C,400.0,26.753,313,1757,-190,-0.508,69.65,27.16,20181015,amc,,364.23,91.0,8.368,2---2,Up
NFLX,180719,180720,P,372.5,5.212,3753,2585,-925,-0.482,47.99,50.17,20181015,amc,,364.23,98.0,8.368,2---2,Up
NFLX,180719,180817,P,400.0,35.668,287,2898,-120,-0.428,30.66,68.29,20181015,amc,,364.23,91.0,8.368,2---2,Up
NFLX,180719,180720,P,435.0,67.98,39,76,-59,-0.401,28.21,71.79,20181015,amc,,364.23,84.0,8.368,2---2,Up
NFLX,180719,180720,C,350.0,17.669,607,16273,-225,-0.398,40.36,58.81,20181015,amc,,364.23,104.0,8.368,2---2,Down
NFLX,180719,180921,C,400.0,10.494,1209,7109,-374,-0.392,25.14,72.95,20181015,amc,,364.23,91.0,8.368,2---2,Down
NFLX,180719,180720,P,397.5,29.174,275,945,-129,-0.376,40.73,47.64,20181015,amc,,364.23,92.0,8.368,2---2,Up
NFLX,180719,180720,P,407.5,40.627,88,380,-87,-0.353,25.00,72.73,20181015,amc,,364.23,89.0,8.368,2---2,Up
NFLX,180719,180720,P,385.0,16.413,706,1875,-205,-0.336,64.73,33.29,20181015,amc,,364.23,95.0,8.368,2---2,Down
