Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
TUSK,"Mammoth Energy Services, Inc.",34.6,1547114642,n/a,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/tusk
MRO,Marathon Oil Corporation,21.54,18377799105,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mro
MPC,Marathon Petroleum Corporation,78.49,36252865128,n/a,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/mpc
MARPS,Marine Petroleum Trust,3.7289,7457800,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/marps
MMLP,Martin Midstream Partners L.P.,15.15,591641390.6,n/a,2002,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/mmlp
MTDR,Matador Resources Company,31.8,3474432988,n/a,2012,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mtdr
MTR,Mesa Royalty Trust,14.995,27944532.05,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mtr
MXC,Mexco Energy Corporation,6.3501,12936842.83,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mxc
MGEE,MGE Energy Inc.,57.9,2007298623,n/a,n/a,Energy,Electric Utilities: Central,https://www.nasdaq.com/symbol/mgee
MCEP,"Mid-Con Energy Partners, LP",2.1,63641818.8,n/a,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mcep
MPO,"MIDSTATES PETROLEUM COMPANY, INC.",13.56,342484336.9,n/a,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mpo
MPLX,MPLX LP,37.1,29456425160,n/a,2012,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/mplx
MUR,Murphy Oil Corporation,31.67,5480113618,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mur
MVO,MV Oil Trust,9.87,113505000,n/a,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mvo
NBR,Nabors Industries Ltd.,8.06,2558421820,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nbr
NESR,National Energy Services Reunited Corp.,10.08,118242684,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nesr
NESRW,National Energy Services Reunited Corp.,1.5,0,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nesrw
NOV,"National Oilwell Varco, Inc.",43.69,16690574647,n/a,n/a,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/nov
NGS,"Natural Gas Services Group, Inc.",23.65,309474605.6,n/a,2002,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ngs
NRP,Natural Resource Partners LP,32.1,393094032,n/a,2002,Energy,Coal Mining,https://www.nasdaq.com/symbol/nrp
NCSM,"NCS Multistage Holdings, Inc.",17.14,764977071.1,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ncsm
GBR,"New Concept Energy, Inc",1.385,2952729.975,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gbr
NFX,Newfield Exploration Company,29.72,5935865101,n/a,1993,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nfx
NR,"Newpark Resources, Inc.",10.5,937759231.5,n/a,n/a,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/nr
NGL,NGL ENERGY PARTNERS LP,11.1,1344028670,n/a,2011,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ngl
NINE,"Nine Energy Service, Inc.",36.37,910470249.9,n/a,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nine
NE,Noble Corporation,5.86,1446135101,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ne
NBL,Noble Energy Inc.,36.8,17827416766,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nbl
NBLX,Noble Midstream Partners LP,51.7,2050538739,n/a,2016,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/nblx
NOA,North American Construction Group Ltd.,6.45,179764821.8,n/a,2006,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/noa
NRT,North European Oil Royality Trust,8.93,82071968.7,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nrt
NOG,"Northern Oil and Gas, Inc.",2.63,327726404,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nog
DNOW,NOW Inc.,14.8,1600488857,n/a,2014,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/dnow
NS,Nustar Energy L.P.,23.85,2222415242,n/a,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/ns
NSH,"Nustar GP Holdings, LLC",13,558390716,n/a,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/nsh
NSS,"NuStar Logistics, L.P.",25.4,0,n/a,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/nss
NES,"Nuverra Environmental Solutions, Inc.",16.43,192158379.4,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nes
OMP,Oasis Midstream Partners LP,19.09,525432510.9,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/omp
OAS,Oasis Petroleum Inc.,12.52,3972702282,n/a,2010,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/oas
OBE,Obsidian Energy Ltd.,1.21,610252595.5,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/obe
OXY,Occidental Petroleum Corporation,84.95,65052180444,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/oxy
ORIG,Ocean Rig UDW Inc.,27.02,2474166874,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/orig
OII,"Oceaneering International, Inc.",23.88,2352934775,n/a,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/oii
